Base_Position 	Mean_Quality_Score
1	31
2	31
3	35
4	35
5	36
6	39
7	39
8	39
9	40
10	40
11	40
12	40
13	40
14	40
15	40
16	40
17	39
18	40
19	40
20	40
21	39
22	40
23	39
24	40
25	39
26	39
27	39
28	39
29	39
30	39
31	39
32	39
33	39
34	39
35	39
36	39
37	39
38	39
39	39
40	39
41	39
42	39
43	39
44	39
45	39
46	39
47	39
48	39
49	39
50	39
51	39
52	39
53	39
54	39
55	39
56	39
57	39
58	39
59	39
60	39
61	39
62	39
63	39
64	39
65	39
66	39
67	39
68	39
69	39
70	39
71	39
72	39
73	39
74	39
75	39
76	39
77	38
78	39
79	39
80	39
81	39
82	39
83	39
84	39
85	39
86	39
87	39
88	39
89	39
90	39
91	39
92	39
93	39
94	38
95	38
96	38
97	38
98	38
99	38
100	38
101	37
